size,method,threads,time_ms,speedup,efficiency,memory_bytes
200,baseline,1,8,1,1,424
200,parallel_threads,2,8,1.0,0.5,25800
200,parallel_threads,4,2,4.0,1.0,7504
200,parallel_threads,8,1,8.0,1.0,5480
200,parallel_streams,10,9,0.8888888888888888,-,35848
200,vectorized,1,7,1.1428571428571428,1,248
300,baseline,1,15,1,1,-80
300,parallel_threads,2,7,2.142857142857143,1.0714285714285714,43896
300,parallel_threads,4,6,2.5,0.625,2232
300,parallel_threads,8,3,5.0,0.625,3680
300,parallel_streams,10,4,3.75,-,-2208
300,vectorized,1,13,1.1538461538461537,1,0
400,baseline,1,35,1,1,0
400,parallel_threads,2,17,2.0588235294117645,1.0294117647058822,1880
400,parallel_threads,4,10,3.5,0.875,2952
400,parallel_threads,8,8,4.375,0.546875,30536
400,parallel_streams,10,6,5.833333333333333,-,-2936
400,vectorized,1,33,1.0606060606060606,1,0
500,baseline,1,75,1,1,0
500,parallel_threads,2,34,2.2058823529411766,1.1029411764705883,22912
500,parallel_threads,4,19,3.9473684210526314,0.9868421052631579,3624
500,parallel_threads,8,17,4.411764705882353,0.5514705882352942,5256
500,parallel_streams,10,14,5.357142857142857,-,-2504
500,vectorized,1,72,1.0416666666666667,1,0
